round,path,mode,threads,object_size,count,throughput_mbps,lat_p50_ms,lat_p95_ms,lat_p99_ms,cpu_user_s,cpu_sys_s,cpu_pct,wall_s
1,rdma,put,4,4194304,64,2040.62,7.79511,10.5903,12.6438,0.127869,0.030746,126.434,0.125452
2,rdma,put,4,4194304,64,6625.44,2.15517,4.01265,4.59059,0.047412,0.024979,187.352,0.0386389
1,rdma,multipart,4,33554432,4,437.375,75.6727,88.5372,88.974,0.266989,0.051035,108.669,0.292655
2,rdma,multipart,4,33554432,4,573.031,55.3915,62.6894,63.0201,0.208079,0.039106,110.66,0.223374
1,gds,put,4,4194304,64,2077.36,8.11731,11.274,13.8026,0.110304,0.04619,126.99,0.123233
2,gds,put,4,4194304,64,5782.52,2.69156,3.41611,3.74943,0.045096,0.026366,161.418,0.0442714
1,gds,multipart,4,33554432,4,362.241,88.935,90.1122,90.1974,0.264356,0.119524,108.638,0.353356
2,gds,multipart,4,33554432,4,663.18,48.9306,53.9614,54.0418,0.154682,0.063261,112.918,0.19301
1,http,put,4,4194304,64,447.202,36.2127,39.3506,46.8161,0.446534,0.261007,123.599,0.572448
2,http,put,4,4194304,64,459.338,34.3514,35.8788,36.4767,0.445125,0.240513,124.976,0.548616
1,http,multipart,4,33554432,4,246.098,130.626,154.919,155.333,0.393557,0.217614,117.506,0.520117
2,http,multipart,4,33554432,4,250.681,126.069,141.989,144.009,0.394552,0.206563,117.725,0.510609
