round,path,mode,threads,object_size,count,throughput_mbps,lat_avg_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,cpu_user_s,cpu_sys_s,cpu_pct,wall_s,failed
1,rdma,put,4,4194304,8192,7264.24,2.20109,1.92549,3.15071,7.80191,5.19385,2.03066,160.158,4.51087,0
2,rdma,put,4,4194304,8192,7127.48,2.24308,1.94776,3.61033,7.33183,5.28821,2.00385,158.612,4.59741,0
3,rdma,put,4,4194304,8192,7396.73,2.1612,1.96053,2.6797,5.82749,5.19011,1.9879,162.049,4.42953,0
4,rdma,put,4,4194304,8192,6905.69,2.31482,2.01281,3.01598,6.45248,5.46082,2.08152,158.971,4.74449,0
5,rdma,put,4,4194304,8192,7959.09,2.00869,1.9285,2.36088,3.381,4.84632,1.97692,165.731,4.11706,0
1,gds,put,4,4194304,32768,6022.7,2.65542,2.44809,3.44209,6.67488,22.5423,11.4809,156.335,21.763,0
2,gds,put,4,4194304,32768,6276.6,2.54799,2.46001,3.22277,3.73082,21.7303,11.32,158.267,20.8826,0
3,gds,put,4,4194304,32768,6197.12,2.58057,2.48146,3.26442,3.79022,22.3329,10.9765,157.488,21.1505,0
4,gds,put,4,4194304,32768,6220.72,2.57083,2.47537,3.25437,3.78053,21.8782,11.1704,156.85,21.0702,0
5,gds,put,4,4194304,32768,6227.24,2.56828,2.47232,3.25797,3.80111,21.9846,10.9129,156.297,21.0482,0
1,http,put,4,4194304,8192,478.451,33.4321,34.4695,37.5324,40.9947,52.4472,32.2053,123.617,68.4794,0
2,http,put,4,4194304,8192,478.83,33.4095,34.377,36.6339,40.2297,52.4326,32.2743,123.78,68.4335,0
3,http,put,4,4194304,8192,475.018,33.6737,34.429,35.8356,38.8492,53.0478,32.1685,123.533,68.9826,0
4,http,put,4,4194304,8192,473.346,33.7975,34.2325,35.7913,37.4656,53.6052,31.8462,123.438,69.2263,0
5,http,put,4,4194304,8192,475.534,33.6389,34.1846,35.625,36.6232,53.0012,32.3101,123.805,68.9078,0
1,rdma,multipart,4,33554432,512,673.592,47.5062,47.8809,54.5972,66.6113,21.4728,4.25325,105.767,24.3233,0
2,rdma,multipart,4,33554432,512,682.36,46.8957,48.2703,50.9495,52.0457,21.3034,4.13872,105.961,24.0108,0
3,rdma,multipart,4,33554432,512,681.87,46.9295,48.3702,51.0201,52.2304,21.1756,4.23451,105.752,24.028,0
4,rdma,multipart,4,33554432,512,677.728,47.2163,48.5116,51.2335,53.2062,21.2841,4.29575,105.812,24.1749,0
5,rdma,multipart,4,33554432,512,652.617,49.0329,49.9365,54.4131,58.5678,22.1267,4.35811,105.496,25.1051,0
