round,path,mode,threads,object_size,count,throughput_mbps,lat_p50_ms,lat_p95_ms,lat_p99_ms,cpu_user_s,cpu_sys_s,cpu_pct,wall_s
1,rdma,put,4,4194304,64,810.515,166.768,304.035,314.167,0.018798,0.059706,24.855,0.315849
2,rdma,put,4,4194304,64,955.255,146.727,257.502,266.08,0.012227,0.069302,30.4223,0.267991
1,rdma,multipart,4,33554432,4,354.173,88.4287,99.6293,100.708,0.006906,0.051468,16.152,0.361405
2,rdma,multipart,4,33554432,4,475.988,65.2839,74.9381,75.9235,0.0068,0.044952,19.2448,0.268914
1,gds,put,4,4194304,64,421.085,31.9292,75.0562,101.219,0.096891,0.397734,81.359,0.607954
2,gds,put,4,4194304,64,520.266,30.5858,31.1813,32.1195,0.063788,0.363705,86.8789,0.492056
1,gds,multipart,4,33554432,4,254.779,123.685,133.734,134.702,0.035372,0.142481,35.401,0.502396
2,gds,multipart,4,33554432,4,273.862,118.65,129.893,130.817,0.033062,0.137327,36.4555,0.467389
1,http,put,4,4194304,64,423.602,316.912,568.274,604.171,0.015098,0.165858,29.9427,0.60434
2,http,put,4,4194304,64,462.781,282.709,531.4,552.668,0.013463,0.165894,32.423,0.553178
1,http,multipart,4,33554432,4,317.946,98.2051,108.064,109.393,0.00469,0.119426,30.8298,0.402585
2,http,multipart,4,33554432,4,334.513,96.1106,97.8932,98.1207,0.002457,0.114988,30.6929,0.382645
